Order ID,Date,Fulfilment,Sales Channel ,Item,Amount,ship-state
405-8078784-5731545,04-30-22,Merchant,Amazon.in,Set,647.62,MAHARASHTRA
171-9198151-1101146,04-30-22,Merchant,Amazon.in,kurta,406,KARNATAKA
404-0687676-7273146,04-30-22,Amazon,Amazon.in,kurta,329,MAHARASHTRA
403-9615377-8133951,04-30-22,Merchant,Amazon.in,Western Dress,753.33,PUDUCHERRY
407-1069790-7240320,04-30-22,Amazon,Amazon.in,Top,574,TAMIL NADU
404-1490984-4578765,04-30-22,Amazon,Amazon.in,Set,824,UTTAR PRADESH
408-5748499-6859555,04-30-22,Amazon,Amazon.in,Set,653,CHANDIGARH
406-7807733-3785945,04-30-22,Merchant,Amazon.in,kurta,399,TELANGANA
407-5443024-5233168,04-30-22,Amazon,Amazon.in,Set,400,TELANGANA
402-4393761-0311520,04-30-22,Amazon,Amazon.in,kurta,363,TAMIL NADU
407-5633625-6970741,04-30-22,Amazon,Amazon.in,kurta,685,TAMIL NADU
171-4638481-6326716,04-30-22,Amazon,Amazon.in,kurta,364,UTTAR PRADESH
405-5513694-8146768,04-30-22,Merchant,Amazon.in,kurta,399,MAHARASHTRA
408-7955685-3083534,04-30-22,Amazon,Amazon.in,Set,657,MAHARASHTRA
408-1298370-1920302,04-30-22,Merchant,Amazon.in,Set,771,MAHARASHTRA
403-4965581-9520319,04-30-22,Merchant,Amazon.in,kurta,544,ANDHRA PRADESH
406-9379318-6555504,04-30-22,Amazon,Amazon.in,kurta,329,RAJASTHAN
405-9013803-8009918,04-30-22,Amazon,Amazon.in,kurta,399,DELHI
402-4030358-5835511,04-30-22,Merchant,Amazon.in,kurta,458,HARYANA
405-5957858-1051546,04-30-22,Amazon,Amazon.in,Set,886,KARNATAKA
405-0607769-0716360,04-30-22,Amazon,Amazon.in,kurta,517,TAMIL NADU
404-8494550-5860325,04-30-22,Amazon,Amazon.in,Set,666,KARNATAKA
171-1305077-2813934,04-30-22,Amazon,Amazon.in,kurta,376,TELANGANA
404-6019946-2909948,04-30-22,Merchant,Amazon.in,Set,570.48,MAHARASHTRA
402-3384087-4005164,04-30-22,Amazon,Amazon.in,kurta,499,ASSAM
405-8191138-5176316,04-30-22,Merchant,Amazon.in,Set,582,JHARKHAND
403-9230474-9657916,04-30-22,Merchant,Amazon.in,kurta,299,CHHATTISGARH
408-3484251-6901959,04-30-22,Amazon,Amazon.in,kurta,459,MAHARASHTRA
405-7755803-4729935,04-30-22,Amazon,Amazon.in,kurta,399,KARNATAKA
404-5933402-8801952,04-30-22,Merchant,Amazon.in,kurta,,ASSAM
171-9040274-9291563,04-30-22,Amazon,Amazon.in,Western Dress,791,TAMIL NADU
403-7056319-0979561,04-30-22,Amazon,Amazon.in,kurta,499,UTTAR PRADESH
404-9632124-1107550,04-30-22,Merchant,Amazon.in,Set,1233,ANDHRA PRADESH
402-1465437-0579556,04-30-22,Merchant,Amazon.in,kurta,517,ODISHA
404-7774085-3780319,04-30-22,Amazon,Amazon.in,kurta,376,TELANGANA
402-2764952-1492318,04-30-22,Merchant,Amazon.in,kurta,499,UTTAR PRADESH
406-0272200-7784379,04-30-22,Amazon,Amazon.in,Set,666,TAMIL NADU
403-4367956-2849158,04-30-22,Amazon,Amazon.in,kurta,487,DELHI
403-4367956-2849158,04-30-22,Amazon,Amazon.in,kurta,368,DELHI
403-4242957-8599555,04-30-22,Amazon,Amazon.in,kurta,399,KERALA
408-7165704-5643524,04-30-22,Amazon,Amazon.in,Ethnic Dress,699,UTTAR PRADESH
402-8210765-3935569,04-30-22,Amazon,Amazon.in,Western Dress,885,MADHYA PRADESH
406-7398201-3869914,04-30-22,Merchant,Amazon.in,kurta,424,MAHARASHTRA
408-3478480-0881162,04-30-22,Amazon,Amazon.in,Set,1126,UTTAR PRADESH
402-7595162-9129931,04-30-22,Amazon,Amazon.in,Set,788,MAHARASHTRA
171-6876154-6233146,04-30-22,Amazon,Amazon.in,Set,759,WEST BENGAL
408-3917043-5314763,04-30-22,Amazon,Amazon.in,Set,1146,ANDHRA PRADESH
408-9281152-6213100,04-30-22,Amazon,Amazon.in,Top,665,TELANGANA
403-3496411-3082707,04-30-22,Amazon,Amazon.in,kurta,429,TELANGANA
171-9208368-0157156,04-30-22,Merchant,Amazon.in,kurta,399,UTTAR PRADESH
408-2137113-0982751,04-30-22,Amazon,Amazon.in,Set,848,ODISHA
402-3628566-9688333,04-30-22,Amazon,Amazon.in,Set,654,MAHARASHTRA
408-7138000-9728362,04-30-22,Amazon,Amazon.in,Set,1033,NAGALAND
402-1752649-2274748,04-30-22,Amazon,Amazon.in,kurta,390,KARNATAKA
402-7944191-1869101,04-30-22,Amazon,Amazon.in,Top,493,KARNATAKA
407-4063876-9566742,04-30-22,Amazon,Amazon.in,Western Dress,721,TELANGANA
403-0752752-4656334,04-30-22,Amazon,Amazon.in,Set,597,RAJASTHAN
406-8879861-2081117,04-30-22,Amazon,Amazon.in,kurta,399,ASSAM
406-8089333-7941903,04-30-22,Amazon,Amazon.in,Set,888,KARNATAKA
171-3072652-6805159,04-30-22,Amazon,Amazon.in,kurta,353,TELANGANA
171-2592464-6846743,04-30-22,Merchant,Amazon.in,Set,599,KARNATAKA
404-2262140-4696366,04-30-22,Amazon,Amazon.in,kurta,518,MAHARASHTRA
404-2262140-4696366,04-30-22,Amazon,Amazon.in,kurta,295,MAHARASHTRA
405-3594372-1614709,04-30-22,Amazon,Amazon.in,Set,852,UTTAR PRADESH
407-2974257-4781134,04-30-22,Amazon,Amazon.in,Set,824,MAHARASHTRA
171-4137548-0481151,04-30-22,Amazon,Amazon.in,kurta,,Gujarat
405-4461562-9113959,04-30-22,Amazon,Amazon.in,Set,909,JHARKHAND
404-4535078-5241919,04-30-22,Amazon,Amazon.in,Top,432,MAHARASHTRA
405-8387725-2971512,04-30-22,Amazon,Amazon.in,Set,545,KARNATAKA
405-6480932-8759528,04-30-22,Amazon,Amazon.in,Set,1146,KARNATAKA
405-9966506-3155561,04-30-22,Merchant,Amazon.in,kurta,696,TAMIL NADU
408-7029737-8028367,04-30-22,Amazon,Amazon.in,kurta,432,MAHARASHTRA
407-2189901-7515567,04-30-22,Merchant,Amazon.in,Set,631,KARNATAKA
402-2105657-2899562,04-30-22,Amazon,Amazon.in,kurta,316,KARNATAKA
406-1326801-8886709,04-30-22,Merchant,Amazon.in,kurta,362,ODISHA
408-7760667-5809130,04-30-22,Amazon,Amazon.in,kurta,329,TELANGANA
405-8457623-9269955,04-30-22,Amazon,Amazon.in,kurta,399,MAHARASHTRA
408-6820155-3521913,04-30-22,Amazon,Amazon.in,Set,751,ASSAM
403-6190683-2687538,04-30-22,Amazon,Amazon.in,Western Dress,791,Gujarat
408-4069830-3819562,04-30-22,Amazon,Amazon.in,Set,684,WEST BENGAL
408-4069830-3819562,04-30-22,Amazon,Amazon.in,Set,1281,WEST BENGAL
408-4069830-3819562,04-30-22,Amazon,Amazon.in,Set,1186,WEST BENGAL
171-7367545-7081126,04-30-22,Amazon,Amazon.in,kurta,499,TELANGANA
404-6522553-9345930,04-30-22,Merchant,Amazon.in,Set,1105.36,UTTARAKHAND
403-9950518-0349133,04-30-22,Amazon,Amazon.in,kurta,,TELANGANA
407-6599093-6553153,04-30-22,Merchant,Amazon.in,Bottom,377,WEST BENGAL
403-3763475-2237125,04-30-22,Amazon,Amazon.in,Western Dress,744,TAMIL NADU
405-1492294-0323520,04-30-22,Amazon,Amazon.in,Western Dress,744,UTTARAKHAND
403-1162895-2484367,04-30-22,Merchant,Amazon.in,Western Dress,859,RAJASTHAN
171-6833843-5473114,04-30-22,Amazon,Amazon.in,kurta,487,Gujarat
403-1477057-8253913,04-30-22,Amazon,Amazon.in,Western Dress,825,KERALA
408-2114413-6089906,04-30-22,Amazon,Amazon.in,Set,680,BIHAR
